Year,Length,Title,Actor,Actress,Director,Popularity,Awards
69,16,78,481,164,625,13,0
54,77,1066,437,165,274,82,0
64,63,839,322,166,9,3,0
65,62,13,120,167,148,7,1
31,50,16,60,170,59,48,0
34,36,202,331,170,59,57,0
63,74,143,14,171,51,71,0
56,76,517,542,168,217,67,0
66,51,806,117,168,529,81,0
51,78,330,569,172,347,81,1
67,60,60,28,173,7,22,0
57,44,421,297,169,29,74,0
67,48,1073,352,169,655,35,0
48,28,883,554,174,139,36,0
46,82,1192,623,174,264,77,1
19,2,131,140,175,216,75,0
25,57,1157,623,175,216,72,0
42,87,578,136,176,3,89,2
23,64,29,216,176,62,20,0
16,50,842,81,176,245,18,0
27,92,67,540,176,398,23,1
63,50,441,250,177,151,33,0
67,43,930,428,177,222,24,0
65,47,655,259,178,527,16,0
66,58,944,282,178,527,53,0
33,74,723,578,179,276,15,0
69,44,133,393,180,125,14,0
17,74,443,405,181,276,61,0
26,69,540,516,182,656,81,1
63,74,196,612,185,110,25,0
52,43,1148,127,186,654,4,0
19,39,1244,623,187,26,36,0
66,74,348,4,188,362,5,0
67,47,284,78,188,470,33,0
44,44,386,50,189,640,28,0
69,40,576,624,190,97,16,0
64,40,404,218,190,670,24,0
66,49,950,418,191,670,83,0
60,53,973,143,183,89,28,0
57,57,581,170,192,63,40,0
63,62,704,362,192,116,15,0
60,68,670,414,192,131,15,0
58,89,247,414,192,141,87,0
54,61,737,266,192,505,59,0
57,89,658,170,192,611,66,0
63,74,612,414,193,63,87,1
66,81,411,437,194,312,86,0
67,79,1261,103,194,388,6,0
66,67,407,127,184,387,5,0
65,57,1091,457,184,424,19,0
58,48,698,208,195,149,62,0
66,43,427,267,196,306,10,0
67,12,140,9,196,670,12,0
17,37,1036,623,197,229,24,0
38,125,625,608,197,343,39,1
66,16,762,595,198,670,12,0
67,51,836,552,199,670,72,0
64,84,1265,229,200,635,71,0
68,109,1215,310,200,635,57,0
64,72,235,505,201,511,41,0
70,5,59,288,202,670,60,0
68,53,329,44,203,106,78,0
56,64,507,127,204,149,7,0
68,64,524,217,204,300,81,0
68,56,573,295,204,612,33,0
23,51,789,213,205,216,12,0
27,40,1230,324,206,216,30,0
26,47,1043,623,206,216,84,0
62,44,409,298,207,423,82,0
63,41,773,258,208,156,39,0
69,39,358,192,209,339,69,0
53,70,808,206,209,387,48,1
51,85,246,440,209,480,55,1
52,71,1156,503,209,481,87,0
54,88,1229,591,209,514,34,0
64,51,126,534,209,546,23,0
67,58,1231,392,209,670,20,0
24,72,681,487,210,155,10,0
20,143,15,608,210,209,42,0
51,71,1102,39,211,504,1,0
58,71,1162,120,212,236,5,0
57,98,1047,440,212,345,32,0
22,45,435,623,213,321,54,0
70,46,802,549,214,670,34,0
56,46,205,505,215,151,51,0
47,77,771,127,215,509,3,0
61,59,146,427,216,87,41,0
68,40,172,613,216,489,64,0
38,94,646,400,217,200,20,0
43,57,54,549,218,166,60,0
51,81,730,418,218,259,41,0
62,50,736,597,218,269,45,0
44,57,186,549,218,466,80,0
70,9,149,43,219,670,48,0
69,51,632,315,220,651,8,0
64,48,630,366,221,544,41,0
64,48,225,189,222,108,38,0
33,55,623,216,223,161,32,0
62,38,925,4,224,7,20,1
61,39,203,9,224,7,14,0
69,62,577,9,224,7,80,0
63,57,522,105,224,7,8,1
56,69,575,519,224,610,8,0
63,49,145,445,225,31,52,0
58,50,228,514,225,445,80,0
13,25,359,447,226,129,28,0
55,142,555,70,227,115,1,0
67,57,758,321,228,39,47,0
69,44,344,632,228,381,67,0
65,49,502,505,229,331,2,0
