Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
68,95,366,4,184,102,559,76,0,2.0
26,70,225,4,223,103,227,73,0,1.0
65,51,532,2,330,104,328,66,0,2.0
43,83,996,4,83,105,728,9,0,0.0
58,64,570,4,27,106,59,58,0,1.0
66,80,560,8,237,107,541,17,0,2.0
56,74,319,10,195,108,156,64,0,0.0
66,77,388,4,349,108,158,29,0,2.0
66,50,611,0,728,109,384,13,0,2.0
51,82,492,6,676,110,241,28,1,0.0
53,72,67,2,400,110,759,82,1,0.0
60,54,495,4,69,111,368,70,0,2.0
30,69,1586,12,111,112,229,4,0,0.0
32,8,738,11,175,113,13,62,0,0.0
67,74,1308,2,228,114,396,18,0,2.0
68,62,478,4,315,115,107,6,0,2.0
49,58,99,8,137,115,427,1,0,0.0
61,11,508,2,529,116,127,28,0,2.0
67,40,1363,4,60,117,60,19,0,2.0
65,51,1189,13,213,118,171,40,0,0.0
62,54,165,2,479,118,324,75,0,2.0
62,59,448,10,568,118,590,63,0,2.0
67,85,192,0,195,118,621,73,0,2.0
41,98,2,4,458,119,213,80,1,0.0
13,24,1087,6,242,120,104,33,0,1.0
66,63,1641,4,684,121,200,71,0,2.0
44,127,757,12,42,122,131,63,0,0.0
52,158,1186,4,329,122,267,28,1,0.0
55,64,758,6,410,123,675,54,0,0.0
61,64,176,4,112,124,432,51,0,2.0
14,44,1317,8,430,125,299,50,0,0.0
64,31,1116,2,440,126,759,40,0,2.0
50,31,180,0,385,127,682,50,0,0.0
65,79,558,8,112,128,432,14,0,2.0
68,67,634,2,251,129,167,61,0,2.0
60,52,505,2,544,129,286,65,0,2.0
65,161,933,2,462,130,259,23,0,0.0
55,51,1196,6,480,131,158,34,0,0.0
68,161,1122,2,631,132,204,32,0,0.0
67,50,1556,0,551,133,384,15,0,2.0
48,4,213,2,415,134,759,22,0,0.0
21,59,414,0,604,135,627,87,0,0.0
70,59,1121,2,686,136,560,85,0,2.0
67,73,1530,8,438,137,428,86,0,2.0
65,63,995,2,109,138,339,6,1,2.0
65,79,1622,2,510,138,474,8,0,2.0
57,88,994,0,481,139,249,32,0,0.0
62,66,157,4,173,140,390,72,0,2.0
64,48,1277,2,354,140,759,16,0,2.0
67,50,1039,4,412,141,574,77,0,2.0
53,69,1340,2,40,142,23,69,1,1.0
63,71,1164,4,294,142,427,43,0,2.0
43,82,379,4,310,142,611,44,1,0.0
41,80,1539,4,83,143,207,63,0,1.0
9,28,85,2,608,144,680,66,0,0.0
9,70,187,13,720,144,710,22,0,0.0
45,71,690,13,507,145,576,50,0,0.0
46,63,334,0,206,146,639,57,0,0.0
67,51,1132,2,543,147,529,12,0,2.0
65,78,1353,4,552,148,374,7,0,2.0
58,51,760,2,195,148,718,0,0,0.0
66,79,371,4,443,149,239,77,0,2.0
68,71,1239,4,349,149,616,73,1,2.0
69,79,956,2,19,149,669,74,0,2.0
24,65,1502,4,727,150,759,65,0,0.0
65,61,873,2,113,151,166,20,0,2.0
26,41,1268,4,662,152,299,39,0,1.0
