Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
66,68,1020,2,209,114,362,18,0,0
67,56,391,4,281,115,105,6,0,0
48,52,86,8,127,115,387,1,0,0
60,7,413,2,458,116,121,28,0,0
66,34,1065,4,55,117,60,19,0,0
64,45,929,13,197,118,163,40,0,0
61,48,138,2,416,118,298,75,0,1
61,53,368,10,494,118,521,63,0,2
66,79,163,0,180,118,550,73,0,2
40,92,2,4,400,119,200,80,1,1
12,19,849,6,219,120,102,33,0,0
65,57,1286,4,594,121,188,71,0,1
43,118,604,12,39,122,124,63,0,1
51,140,926,4,295,122,250,28,1,0
54,58,605,6,363,123,594,54,0,2
60,58,148,4,105,124,390,51,0,1
13,38,1027,8,380,125,276,50,0,1
63,26,868,2,387,126,670,40,0,2
49,26,151,0,344,127,599,50,0,2
64,73,451,8,105,128,390,14,0,0
67,61,510,2,227,129,159,61,0,1
59,46,410,2,473,129,265,65,0,1
64,143,733,2,403,130,244,23,0,0
54,45,936,6,417,131,151,34,0,0
67,143,874,2,549,132,192,32,0,0
66,44,1218,0,479,133,350,15,0,0
47,3,181,2,367,134,670,22,0,2
20,53,338,0,525,135,556,87,0,1
69,53,873,2,596,136,494,85,0,2
66,67,1197,8,385,137,388,86,0,1
64,57,778,2,102,138,310,6,1,0
64,73,1271,2,440,138,428,8,0,0
56,82,777,0,418,139,234,32,0,0
61,60,132,4,160,140,356,72,0,1
63,42,998,2,319,140,670,16,0,2
66,44,810,4,364,141,507,77,0,2
52,63,1042,2,37,142,23,69,1,1
62,65,908,4,266,142,387,43,0,0
42,76,310,4,277,142,541,44,1,2
40,74,1204,4,77,143,195,63,0,1
8,23,76,2,528,144,597,66,0,2
8,64,158,13,623,144,623,22,0,2
44,65,556,13,437,145,509,50,0,2
45,57,278,0,191,146,566,57,0,2
66,45,882,2,472,147,471,12,0,0
64,72,1055,4,480,148,340,7,0,0
57,45,607,2,180,148,630,0,0,2
65,73,304,4,389,149,224,77,0,1
67,65,968,4,314,149,546,73,1,2
68,73,753,2,17,149,590,74,0,2
23,59,1172,4,628,150,670,65,0,2
64,55,682,2,106,151,158,20,0,0
25,35,990,4,578,152,276,39,0,0
39,45,976,2,294,153,463,37,0,2
66,62,1049,2,131,154,234,51,0,0
69,89,254,4,589,154,312,87,0,1
43,53,98,13,77,155,228,15,0,0
63,42,1035,2,601,156,199,49,0,0
68,50,538,4,71,157,36,72,0,1
38,21,1173,2,373,158,139,4,0,0
67,64,1246,1,191,159,190,66,0,1
39,64,1121,4,356,160,82,11,1,0
66,44,924,10,370,161,543,20,0,2
68,49,815,6,407,162,576,31,0,2
66,57,887,6,264,163,351,27,0,0
69,16,78,7,481,164,625,13,0,2
54,77,1066,2,437,165,274,82,0,1
64,63,839,2,322,166,9,3,0,0
65,62,13,2,120,167,148,7,1,0
31,50,16,2,60,170,59,48,0,1
34,36,202,4,331,170,59,57,0,1
63,74,143,4,14,171,51,71,0,1
56,76,517,7,542,168,217,67,0,1
66,51,806,2,117,168,529,81,0,2
51,78,330,1,569,172,347,81,1,1
67,60,60,2,28,173,7,22,0,0
57,44,421,8,297,169,29,74,0,1
67,48,1073,4,352,169,655,35,0,2
48,28,883,4,554,174,139,36,0,0
46,82,1192,13,623,174,264,77,1,1
19,2,131,12,140,175,216,75,0,1
25,57,1157,13,623,175,216,72,0,1
42,87,578,8,136,176,3,89,2,1
23,64,29,4,216,176,62,20,0,0
16,50,842,4,81,176,245,18,0,0
27,92,67,4,540,176,398,23,1,2
63,50,441,6,250,177,151,33,0,0
67,43,930,2,428,177,222,24,0,0
65,47,655,6,259,178,527,16,0,2
66,58,944,4,282,178,527,53,0,2
33,74,723,8,578,179,276,15,0,0
69,44,133,10,393,180,125,14,0,0
17,74,443,8,405,181,276,61,0,1
26,69,540,4,516,182,656,81,1,2
63,74,196,4,612,185,110,25,0,0
52,43,1148,0,127,186,654,4,0,2
19,39,1244,4,623,187,26,36,0,0
66,74,348,4,4,188,362,5,0,0
67,47,284,4,78,188,470,33,0,2
44,44,386,4,50,189,640,28,0,2
69,40,576,0,624,190,97,16,0,0
64,40,404,0,218,190,670,24,0,2
66,49,950,0,418,191,670,83,0,2
60,53,973,2,143,183,89,28,0,0
57,57,581,4,170,192,63,40,0,0
63,62,704,4,362,192,116,15,0,0
60,68,670,8,414,192,131,15,0,0
58,89,247,0,414,192,141,87,0,1
54,61,737,12,266,192,505,59,0,2
57,89,658,4,170,192,611,66,0,2
63,74,612,4,414,193,63,87,1,1
66,81,411,4,437,194,312,86,0,1
67,79,1261,4,103,194,388,6,0,0
66,67,407,0,127,184,387,5,0,0
65,57,1091,4,457,184,424,19,0,0
58,48,698,10,208,195,149,62,0,1
66,43,427,0,267,196,306,10,0,0
67,12,140,2,9,196,670,12,0,2
17,37,1036,4,623,197,229,24,0,0
38,125,625,4,608,197,343,39,1,0
66,16,762,2,595,198,670,12,0,2
67,51,836,2,552,199,670,72,0,2
64,84,1265,4,229,200,635,71,0,2
68,109,1215,4,310,200,635,57,0,2
64,72,235,4,505,201,511,41,0,2
70,5,59,8,288,202,670,60,0,2
68,53,329,2,44,203,106,78,0,1
56,64,507,8,127,204,149,7,0,0
68,64,524,4,217,204,300,81,0,1
68,56,573,4,295,204,612,33,0,2
23,51,789,13,213,205,216,12,0,0
27,40,1230,13,324,206,216,30,0,0
26,47,1043,13,623,206,216,84,0,1
62,44,409,2,298,207,423,82,0,1
63,41,773,2,258,208,156,39,0,0
69,39,358,4,192,209,339,69,0,1
53,70,808,2,206,209,387,48,1,2
51,85,246,4,440,209,480,55,1,2
52,71,1156,4,503,209,481,87,0,1
54,88,1229,4,591,209,514,34,0,2
64,51,126,4,534,209,546,23,0,2
67,58,1231,4,392,209,670,20,0,2
24,72,681,2,487,210,155,10,0,0
20,143,15,4,608,210,209,42,0,1
51,71,1102,4,39,211,504,1,0,0
58,71,1162,2,120,212,236,5,0,0
57,98,1047,6,440,212,345,32,0,0
22,45,435,13,623,213,321,54,0,1
70,46,802,2,549,214,670,34,0,2
56,46,205,6,505,215,151,51,0,1
47,77,771,0,127,215,509,3,0,0
61,59,146,2,427,216,87,41,0,0
68,40,172,8,613,216,489,64,0,2
38,94,646,4,400,217,200,20,0,0
43,57,54,2,549,218,166,60,0,1
51,81,730,0,418,218,259,41,0,0
62,50,736,0,597,218,269,45,0,0
44,57,186,2,549,218,466,80,0,1
70,9,149,7,43,219,670,48,0,2
69,51,632,8,315,220,651,8,0,2
64,48,630,4,366,221,544,41,0,2
64,48,225,4,189,222,108,38,0,0
33,55,623,4,216,223,161,32,0,0
62,38,925,2,4,224,7,20,1,0
61,39,203,2,9,224,7,14,0,0
69,62,577,2,9,224,7,80,0,1
63,57,522,2,105,224,7,8,1,0
56,69,575,0,519,224,610,8,0,2
63,49,145,4,445,225,31,52,0,1
58,50,228,2,514,225,445,80,0,1
13,25,359,2,447,226,129,28,0,0
55,142,555,4,70,227,115,1,0,0
67,57,758,10,321,228,39,47,0,1
69,44,344,4,632,228,381,67,0,2
65,49,502,0,505,229,331,2,0,0
64,49,1127,2,105,230,52,84,0,1
61,66,892,4,274,230,56,83,1,1
68,60,833,4,413,230,233,55,0,1
54,67,547,4,650,230,319,17,0,0
58,70,39,4,437,230,481,76,0,2
56,64,830,4,83,230,509,64,1,2
66,72,1104,4,565,230,516,66,0,2
66,55,209,2,272,231,159,42,0,0
57,78,387,10,270,231,329,33,0,0
54,75,1096,10,270,231,385,44,0,0
60,86,966,10,270,231,405,4,0,0
68,58,535,4,184,232,114,72,0,1
33,53,1068,0,470,233,189,52,0,1
34,74,514,13,363,233,588,84,0,1
8,143,948,13,623,234,361,51,0,1
67,43,179,2,169,235,573,79,0,2
49,83,983,4,252,236,200,75,0,1
56,76,245,4,180,237,90,43,0,1
63,54,780,8,84,237,387,6,0,0
48,68,642,4,586,237,460,15,1,2
56,67,381,2,503,237,481,34,0,2
42,51,236,2,397,237,569,62,1,2
68,143,270,4,618,237,670,1,1,2
17,84,957,4,456,238,276,78,1,1
21,50,610,4,628,238,584,44,0,2
50,41,1088,0,501,239,565,31,0,2
69,39,801,8,336,240,242,26,0,0
66,37,1115,8,381,240,522,80,0,2
67,48,941,8,553,240,579,10,0,2
60,49,1217,2,103,241,135,30,0,0
68,72,1060,8,295,242,174,8,1,0
65,52,1103,4,273,242,320,76,0,1
49,46,804,2,180,242,419,33,0,0
65,143,432,4,521,242,670,88,0,2
32,143,166,4,216,243,94,66,0,1
66,57,791,4,161,244,561,32,1,2
64,46,116,2,26,245,277,45,0,1
11,39,864,4,395,246,76,57,0,1
8,28,595,4,16,246,95,66,0,1
7,46,89,4,54,246,95,0,0,0
3,63,439,4,243,246,95,72,0,1
5,44,1277,4,243,246,95,83,0,1
12,50,90,4,394,246,95,35,1,1
13,64,223,4,596,246,153,74,0,1
